SL500,Benz,2010,1000,A,1000,crashed,black
Thunderbird,Ford,1956,200000,B,200,crashed,black
L90,Renault,2014,0,C,50,notcrashed,red
L90,Renault,2014,4000,C,50,notcrashed,red
Cadenza,Kia,2015,300,C,150,notcrashed,white
DENA,IKCO,2015,1000,C,50,crashed,red
3,Mazda,2014,400,C,150,notcrashed,white
206,Peugeot,2016,200,C,26,notcrashed,black
i20,Hyundai,2013,0,C,100,crashed,white
Maxima,Nissan,2010,100,C,100,crashed,red
EldoradoBiarritz,Cadillac,1960,900,B,300,crashed,red
Impala,Chevrolet,1958,100,B,400,notcrashed,white
Civic,Honda,2016,100,A,200,notcrashed,red
SL500,Benz,2010,1000,A,500,crashed,black
Thunderbird,Ford,1956,200000,B,200,crashed,black
L90,Renault,2014,0,C,50,notcrashed,red
L90,Renault,2010,10000,C,50,notcrashed,silver
Samand,IKCO,2015,20000,C,30,crashed,silver
